	SUM of Amount	COUNT of Amount	Address
TIM HORTONS TIMCARD      OAKVILLE	$240.00	6	323 Richmond St. E (at Sherbourne St.) Toronto, ON M5A 4R3
UENO MARKET              TORONTO	$79.42	9	75 Sherbourne St Toronto, ON M5A 2P9
BOMBAY PALACE            TORONTO	$56.25	1	71 Jarvis St. Toronto, ON M5C 2H2
SUNSET GRILL             TORONTO	$49.01	2	1 Richmond St W  Toronto, ON M5H 3W4
FUSARO'S                 TORONTO	$48.48	4	294 Richmond St E  Toronto, ON M5A 4S8
SUBWAY                   TORONTO	$41.48	7	24 Richmond St East Toronto, ON M5C 2R9, CAN
SPRING ROLLS GO          TORONTO	$41.47	4	120 Church St  Toronto, ON M5C 2G8
NO BULL BURGERS          TORONTO	$38.80	4	179 Parliament St  Toronto, ON M5A 1S8
FRIENDS CONVENIENCE      TORONTO	$32.19	4	105 Victoria St. Toronto, ON
AMAYA EXPRESS            TORONTO	$30.85	3	263 King Street East Toronto, ON M5A 1K2
MT EVEREST RESTAURANT    TORONTO	$29.84	1	469 Bloor St W  Toronto, ON M5S 1X9
EGGSMART                 TORONTO	$28.22	2	474 Adelaide Street East, Toronto, ON M5A 2W7, Canada
YOUNG THAILAND           TORONTO	$24.74	2	446 Parliament St, Toronto
THE WORKS-WELLINGTON     TORONTO	$24.30	1	60 Wellington Street East, Toronto
DRUXY'S-#058             TORONTO	$22.60	1	29 Queen Street E Toronto, ON M5C 1R5
BIG SMOKE BURGER - KIN   TORONTO	$19.75	2	50 King Street East Toronto, ON
THE BERKELY CAFE         TORONTO	$19.20	2	141 Berkeley St  Toronto, ON M5A 2W7
TERRONI ADELAIDE         TORONTO	$17.00	1	57 Adelaide St E Toronto
